행정구역,나이,2015년,2016년,2017년,2018년,2019년,2020년,위도,경도,,
경기도 여주시 (4167000000),20~24,"6,752","6,759","6,546","6,401","6,261","6,200",37.28105843,127.6290026,,
경기도 연천군 (4180000000),00~07,"2,791","2,894","2,834","2,594","2,372","2,193",38.096359,127.075142,,
경기도 연천군 (4180000000),08~13,"1,963","1,895","1,852","1,868","1,777","1,765",38.096359,127.075142,,
경기도 연천군 (4180000000),14~16,"1,364","1,304","1,135",988,918,909,38.096359,127.075142,,
경기도 연천군 (4180000000),17~19,"1,388","1,362","1,317","1,333","1,246","1,102",38.096359,127.075142,,
경기도 연천군 (4180000000),20~24,"3,060","3,106","2,796","2,595","2,512","2,470",38.096359,127.075142,,
경기도 오산시 (4137000000),00~07,"22,651","21,761","21,160","20,800","19,528","18,146",37.14608721,127.0809493,,
경기도 오산시 (4137000000),08~13,"14,729","14,946","15,203","15,652","15,985","16,572",37.14608721,127.0809493,,
경기도 오산시 (4137000000),14~16,"7,861","7,473","7,121","6,974","6,906","6,925",37.14608721,127.0809493,,
경기도 오산시 (4137000000),17~19,"7,573","7,630","7,743","7,855","7,657","7,336",37.14608721,127.0809493,,
경기도 오산시 (4137000000),20~24,"12,766","13,086","13,185","13,648","13,898","14,125",37.14608721,127.0809493,,
경기도 용인시 (4146000000),00~07,"89,830","86,987","84,319","83,472","80,985","76,218",37.3066314,127.1711555,,
경기도 용인시 (4146000000),08~13,"71,208","71,753","71,786","72,654","74,139","75,436",37.3066314,127.1711555,,
경기도 용인시 (4146000000),14~16,"39,983","38,613","36,249","35,313","34,775","34,802",37.3066314,127.1711555,,
경기도 용인시 (4146000000),17~19,"40,689","40,863","41,697","41,345","40,635","38,402",37.3066314,127.1711555,,
경기도 용인시 (4146000000),20~24,"60,919","63,555","65,074","66,280","67,674","70,124",37.3066314,127.1711555,,
경기도 용인시 기흥구 (4146300000),00~07,"41,577","40,513","38,834","37,004","35,290","32,351",37.28126081,127.1220872,,
경기도 용인시 기흥구 (4146300000),08~13,"31,416","32,037","32,024","31,930","32,077","32,194",37.28126081,127.1220872,,
경기도 용인시 기흥구 (4146300000),14~16,"16,660","16,083","15,133","14,760","14,701","14,689",37.28126081,127.1220872,,
경기도 용인시 기흥구 (4146300000),17~19,"15,677","15,832","16,368","16,417","15,986","15,060",37.28126081,127.1220872,,
경기도 용인시 기흥구 (4146300000),20~24,"23,994","25,148","26,018","26,666","27,575","28,982",37.28126081,127.1220872,,
경기도 용인시 수지구 (4146500000),00~07,"31,649","30,343","29,467","28,576","28,262","27,772",37.33319368,127.102776,,
경기도 용인시 수지구 (4146500000),08~13,"26,425","26,530","26,418","26,472","27,151","28,009",37.33319368,127.102776,,
경기도 용인시 수지구 (4146500000),14~16,"15,113","14,648","13,870","13,435","13,173","13,276",37.33319368,127.102776,,
경기도 용인시 수지구 (4146500000),17~19,"14,333","14,382","14,739","14,598","14,325","13,598",37.33319368,127.102776,,
경기도 용인시 수지구 (4146500000),20~24,"21,488","22,213","22,520","22,681","22,955","23,616",37.33319368,127.102776,,
경기도 용인시 처인구 (4146100000),00~07,"16,604","16,131","16,018","17,892","17,433","16,095",37.23543972,127.1686034,,
경기도 용인시 처인구 (4146100000),08~13,"13,367","13,186","13,344","14,252","14,911","15,233",37.23543972,127.1686034,,
경기도 용인시 처인구 (4146100000),14~16,"8,210","7,882","7,246","7,118","6,901","6,837",37.23543972,127.1686034,,
경기도 용인시 처인구 (4146100000),17~19,"10,679","10,649","10,590","10,330","10,324","9,744",37.23543972,127.1686034,,
경기도 용인시 처인구 (4146100000),20~24,"15,437","16,194","16,536","16,933","17,144","17,526",37.23543972,127.1686034,,
